,id,text,author
32,id19505,"Among the other transcendant attributes of Mozart's music, it possesses more than any other that of appearing to come from the heart; you enter into the passions expressed by him, and are transported with grief, joy, anger, or confusion, as he, our soul's master, chooses to inspire.",MWS
33,id21768,"Others made long journies to unite themselves to those they loved, and arrived to find them dead.",MWS
34,id01201,But her wish was of course to be complied with; and I entreated her to prepare without delay for our departure.,MWS
35,id27502,"In the morning Randolph was up early, and would have run off to the upper timber lot if Uncle Chris had not caught him and forced him into his chair by the breakfast table.",HPL
36,id20923,"""In Greek we must have some thing pretty from Demosthenes, for example.",EAP
37,id07470,"I merely wish you to bear in mind that, with myself, it was sufficiently forcible to give a definite form a certain tendency to my inquiries in the chamber.",EAP
38,id23261,"I resolved to be more cautious, more reserved.",EAP
39,id10233,"Passing into the parlor, I found myself with Mr. Landor for this, I afterwards found, was his name.",EAP
40,id12320,"It was my last link with a chapter of life forever closed, and I valued it highly.",HPL
41,id20227,"These contemplations engaged her, when the voice of Raymond first struck her ear, a voice, once heard, never to be forgotten; she mastered her gush of feelings, and welcomed him with quiet gentleness.",MWS
42,id04720,"Let these tears flow not for myself, happy and ungrateful as I am, but for the dead world for our lost country for all of love, and life, and joy, now choked in the dusty chambers of death.""",MWS
43,id05713,"Thus; at first, it was thought unnecessary to offer a reward.",EAP
44,id11047,"The Marshes, together with the other three gently bred families of the town the Waites, the Gilmans, and the Eliots were all very retiring.",HPL
45,id10334,"""Let 'Oppodeldoc,' whoever he is, send any future composition of like character to the 'Hum Drum,' the 'Lollipop,' or the 'Rowdy Dow,' They will 'insert' it.",EAP
46,id05377,"Reid, you know, had just taken up comparative pathology, and was full of pompous ""inside stuff"" about the biological or evolutionary significance of this or that mental or physical symptom.",HPL
47,id01837,"In the present instance, had the gold been gone, the fact of its delivery three days before would have formed something more than a coincidence.",EAP
48,id11523,"Presently the murmur of water fell gently upon my ear and in a few moments afterward, as I turned with the road somewhat more abruptly than hitherto, I became aware that a building of some kind lay at the foot of a gentle declivity just before me.",EAP
49,id10246,"These reduced me at once to submission, and I am almost ashamed to confess that either through pain or vexation, there came a few tears into my eyes.",EAP
50,id16603,"My next step was to re examine with microscopic care the deserted hamlet where death had come most abundantly, and where Arthur Munroe had seen something he never lived to describe.",HPL
51,id10729,"Perhaps, after the labours and stupendous excitement of the past summer, the calm of winter and the almost menial toils it brought with it, were by natural re action doubly irksome.",MWS
52,id14002,"Thus dwelt Iranon in Oonai, the city of lutes and dancing.",HPL
53,id00051,"I have observed that, although the outlines of the figures upon the walls were sufficiently distinct, yet the colors seemed blurred and indefinite.",EAP
54,id00310,"Mr. Ainsworth has not attempted to account for this phenomenon, which, however, is quite susceptible of explanation.",EAP
55,id03365,"When the Automaton is about to move a piece, a distinct motion is observable just beneath the left shoulder, and which motion agitates in a slight degree, the drapery covering the front of the left shoulder.",EAP
56,id13048,"We had passed through walls of piled bones, with casks and puncheons intermingling, into the inmost recesses of the catacombs.",EAP
57,id26405,"Does he not on the contrary feel a freedom of will within him, which, though you may call it fallacious, still actuates him as he decides?""",MWS
58,id12919,"My teeth chatter as I speak, yet it is not with the chilliness of the night of the night without end.",EAP
59,id24253,"By what miracle I escaped destruction, it is impossible to say.",EAP
60,id13987,"Hear him not; call on the names of William, Justine, Clerval, Elizabeth, my father, and of the wretched Victor, and thrust your sword into his heart.",MWS
61,id15557,"Accordingly abandoning it as a route, I cautiously moved the bedstead against it to hamper any attack which might be made on it later from the next room.",HPL
62,id13757,"Then thought trickled back, and I knew that I had witnessed things more horrible than I had dreamed.",HPL
63,id10192,"Her head fell on his shoulder, she trembled, alternate changes of fire and ice ran through her limbs: observing her emotion he spoke with softened accents: ""The blow is given.",MWS
64,id27444,"I found him well educated, with unusual powers of mind, but infected with misanthropy, and subject to perverse moods of alternate enthusiasm and melancholy.",EAP
65,id08229,"Was man, indeed, at once so powerful, so virtuous and magnificent, yet so vicious and base?",MWS
66,id08294,"Always an ice cold intellectual machine; slight, blond, blue eyed, and spectacled; I think he secretly sneered at my occasional martial enthusiasms and censures of supine neutrality.",HPL
67,id18762,"The room, although ill contrived, smoke blackened, low pitched, and in every other respect agreeing with the general character of such places at the period was, nevertheless, in the opinion of the grotesque groups scattered here and there within it, sufficiently well adapted to its purpose.",EAP
68,id22119,"Good bye, until I see you again.",EAP
69,id27287,I could not see the figure of him who had aroused me.,EAP
70,id05327,What baffled us was our utter ignorance of the aspect in which we might encounter the thing.,HPL
71,id01983,"Ay, ay,"" continued he, observing my face expressive of suffering, ""M.",MWS
72,id25979,"We were all equal now; but near at hand was an equality still more levelling, a state where beauty and strength, and wisdom, would be as vain as riches and birth.",MWS
73,id01817,I might as well have attempted to arrest an avalanche Down still unceasingly still inevitably down I gasped and struggled at each vibration.,EAP
74,id24882,"Reproach is indeed an idle word: for what should I reproach you? ""Allow me in some degree to explain my feeling; without that, we shall both grope in the dark, mistaking one another; erring from the path which may conduct, one of us at least, to a more eligible mode of life than that led by either during the last few weeks.",MWS
75,id07939,"In a city, fifteen years are no long period a child may be still a child in his third lustrum: but in a wilderness in so magnificent a wilderness as that old principality, fifteen years have a far deeper meaning.",EAP
76,id02559,A careful search soon brought to light the hidden spring.,EAP
77,id11601,"I feared madness, not sickness I have a presentiment that Adrian will not die; perhaps this illness is a crisis, and he may recover.""",MWS
78,id23325,"It's all the same now, for he's gone back into the fabulous darkness he loved to haunt.",HPL
79,id20293,"The same lulling sounds acted as a lullaby to my too keen sensations; when I placed my head upon my pillow, sleep crept over me; I felt it as it came and blessed the giver of oblivion.",MWS
80,id05312,My purpose at present is a very different one indeed.,EAP
81,id27562,"Beyond that wall in the grey dawn he came to a land of quaint gardens and cherry trees, and when the sun rose he beheld such beauty of red and white flowers, green foliage and lawns, white paths, diamond brooks, blue lakelets, carven bridges, and red roofed pagodas, that he for a moment forgot Celephaïs in sheer delight.",HPL
82,id09097,You would not if you saw him.,MWS
83,id22478,"Then, as if pursued by an enemy, as if wings had been at her feet, she flew to her own apartment, she dismissed her attendants, she locked the doors, she threw herself wildly on the floor, she bit her lips even to blood to suppress her shrieks, and lay long a prey to the vulture of despair, striving not to think, while multitudinous ideas made a home of her heart; and ideas, horrid as furies, cruel as vipers, and poured in with such swift succession, that they seemed to jostle and wound each other, while they worked her up to madness.",MWS
84,id27096,"One moment we seized before our departure, to take leave of our beloved girls.",MWS
85,id21314,We rest; a dream has power to poison sleep.,MWS
86,id27299,I gazed; while my brain reeled with a multitude of incoherent thoughts.,EAP
87,id26436,She was no longer that happy creature who in earlier youth wandered with me on the banks of the lake and talked with ecstasy of our future prospects.,MWS
88,id14838,"These, for what reason I could not imagine, were her favourite and constant study and that in process of time they became my own, should be attributed to the simple but effectual influence of habit and example.",EAP
89,id15356,"I mean Moissart and Voissart; and for de matter of dat, I mean Croissart and Froisart, too, if I only tink proper to mean it.",EAP
90,id13486,"Perhaps he dreaded my changing my mind, and thought it best to make sure of the prize at once you know how enthusiastic he is on all subjects connected with Natural History.",EAP
91,id06021,"""Dvelf"" they replied perfectly satisfied, and dropping their voices.",EAP
92,id01136,"But it was lonely among strangers, so Barry had asked me to come.",HPL
93,id10478,"I appreciated the direful change now in operation upon the flesh, and, as the dreamer is sometimes aware of the bodily presence of one who leans over him, so, sweet Una, I still dully felt that you sat by my side.",EAP
94,id04592,"AND now let the reader, passing over some short period of time, be introduced to our happy circle.",MWS
95,id11661,"They hurried away, as soon as they saw me; my agitated mien added to their fear of coming near one who had entered within the verge of contagion.",MWS
96,id19090,"In ordered terraces rose the green banks, adorned here and there with bowers of vines and sweet blossoms, and seats and benches of marble and porphyry.",HPL
97,id15316,"The building was full of a frightful stench which Dr. Armitage knew too well, and the three men rushed across the hall to the small genealogical reading room whence the low whining came.",HPL
98,id22124,"The trail up and down Sentinel Hill seemed to Armitage of almost cataclysmic significance, and he looked long at the sinister altar like stone on the summit.",HPL
99,id21152,"No one cared to remain there amidst the stench and tarry stickiness, but all turned instinctively to the line of horrible prints leading on toward the wrecked Whateley farmhouse and the altar crowned slopes of Sentinel Hill.",HPL
100,id22943,"It seemed to me impossible that she could recognise the sound, but she persisted in her assertion till she gained credit with the crowd about.",MWS
101,id19228,"Upon examining it, many excoriations were perceived, no doubt occasioned by the violence with which it had been thrust up and disengaged.",EAP
102,id21815,"Besides, his Grace hated a scene De L'Omelette is himself again.",EAP
103,id01265,"There were no visible houses, and I could tell by the state of the road that traffic was very light hereabouts.",HPL
104,id13906,Sometimes I have endeavoured to discover what quality it is which he possesses that elevates him so immeasurably above any other person I ever knew.,MWS
105,id15506,But certainly she had made deep observations while she noted in silence the changes that passed around her.,MWS
106,id25773,"I constantly consulted my watch by the light of my electric lantern, and listened with feverish anxiety at the receiver of the telephone; but for more than a quarter of an hour heard nothing.",HPL
107,id16418,"It is curious that although he differed so widely from the mass of Hispanicised and tribal Indians, Romero gave not the least impression of Caucasian blood.",HPL
108,id05956,"We careered round and round for perhaps an hour, flying rather than floating, getting gradually more and more into the middle of the surge, and then nearer and nearer to its horrible inner edge.",EAP
109,id20827,"Did you ever behold streets so insufferably narrow, or houses so miraculously tall?",EAP
110,id26577,"I had been now two years successfully busied in this way, when there came to the university a young parvenu nobleman, Glendinning rich, said report, as Herodes Atticus his riches, too, as easily acquired.",EAP
111,id13193,Darkness fell upon a stricken countryside too passive to organise for real defence.,HPL
112,id14433,How did he know so much about what they expected?,HPL
113,id13167,"Moreover, he had in the past secretly studied the theory of reanimation to some extent under West.",HPL
114,id22176,Y'ha nthlei was not destroyed when the upper earth men shot death into the sea.,HPL
115,id17651,My every motion was undoubtedly watched.,EAP
116,id25127,"They produced in me an infinity of new images and feelings, that sometimes raised me to ecstasy, but more frequently sunk me into the lowest dejection.",MWS
117,id06829,"They did not expect to hear Sir Alfred Jermyn emit a shrill, inhuman scream, or to see him seize his clumsy antagonist with both hands, dash it to the floor of the cage, and bite fiendishly at its hairy throat.",HPL
118,id22828,"On the contrary, the disease gained virulence, while starvation did its accustomed work.",MWS
119,id22012,I saw that she must die and I struggled desperately in spirit with the grim Azrael.,EAP
120,id25324,I love you very tenderly.,MWS
121,id22757,"Fortunately, as I spoke my native language, Mr. Kirwin alone understood me; but my gestures and bitter cries were sufficient to affright the other witnesses.",MWS
122,id02647,"""That is absolutely needless,"" replied G .",EAP
123,id19319,"The students all attended the hasty funeral on the th, and bought an impressive wreath, though the latter was quite overshadowed by the tributes sent by wealthy Arkham citizens and by the municipality itself.",HPL
124,id03641,"The day was warm and sunny, but the landscape of sand, sedge grass, and stunted shrubbery became more and more desolate as we proceeded.",HPL
125,id19514,"My friends, for Verney, I feel that you are my friend, do not endeavour to shake my resolve.",MWS
126,id26549,"Notwithstanding the melancholy object of my journey, my spirits were exhilarated by reviving hope, by the swift motion of the airy pinnace, and the balmy visitation of the sunny air.",MWS
127,id21009,"I was always conscious of my state when my wild thoughts seemed to drive me to insanity, and never betrayed them to aught but silence and solitude.",MWS
128,id24213,"When I reflected on the work I had completed, no less a one than the creation of a sensitive and rational animal, I could not rank myself with the herd of common projectors.",MWS
129,id03864,"I was now in Holborn, and passed by a public house filled with uproarious companions, whose songs, laughter, and shouts were more sorrowful than the pale looks and silence of the mourner.",MWS
130,id17856,"I collected bones from charnel houses and disturbed, with profane fingers, the tremendous secrets of the human frame.",MWS
131,id16216,"Two small boys, sons of a Madame Deluc, while roaming among the woods near the Barrière du Roule, chanced to penetrate a close thicket, within which were three or four large stones, forming a kind of seat, with a back and footstool.",EAP
132,id03663,"Presently they began to gather renewed force and coherence as they grew in stark, utter, ultimate frenzy.",HPL
133,id22752,"Were it later for example, were it the year of our Lord eighteen hundred and forty five, we should be deprived of this extraordinary spectacle.",EAP
134,id14153,"He will tell me "" ""Luchesi cannot tell Amontillado from Sherry."" ""And yet some fools will have it that his taste is a match for your own."" ""Come, let us go."" ""Whither?""",EAP
135,id20875,"Over those horrors the evil moon now hung very low, but the puffy worms of the sea need no moon to feed by.",HPL
136,id16926,"Upon the death of Theodoric in , Ibidus retired from public life to compose his celebrated work whose pure Ciceronian style is as remarkable a case of classic atavism as is the verse of Claudius Claudianus, who flourished a century before Ibidus; but he was later recalled to scenes of pomp to act as court rhetorician for Theodatus, nephew of Theodoric.",HPL
137,id23902,"The two forces mingling, unarmed and hand in hand, talking only how each might assist the other, the adversaries conjoined; each repenting, the one side their former cruelties, the other their late violence, they obeyed the orders of the General to proceed towards London.",MWS
138,id15594,"It had to be done my way artificial preservation for you see I died that time eighteen years ago.""",HPL
139,id27442,You have observed nothing distinctive.,EAP
140,id20053,"I am blind and cannot judge of your countenance, but there is something in your words which persuades me that you are sincere.",MWS
141,id15902,"Her expectations had been strongly excited; she had urged nothing against our project, on the contrary, she was evidently pleased by it; but its evident ill success changed the current of her ideas.",MWS
142,id08596,"I now bent to the left around the ruinous green; still gazing toward the ocean as it blazed in the spectral summer moonlight, and watching the cryptical flashing of those nameless, unexplainable beacons.",HPL
143,id07850,"Do you expect me to pay for what I did not take?""",EAP
144,id08790,"Black draperies, likewise, in the gloomy room, shut out from our view the moon, the lurid stars, and the peopleless streets but the boding and the memory of Evil they would not be so excluded.",EAP
145,id18735,It had been a vigorous man; a well dressed stranger just off the train on his way to transact some business with the Bolton Worsted Mills.,HPL
146,id05717,"But everteeming Nature will create another and another, and thou wilt loose nought by my destruction.",MWS
147,id16041,"After great trouble, occasioned by the intractable ferocity of his captive during the home voyage, he at length succeeded in lodging it safely at his own residence in Paris, where, not to attract toward himself the unpleasant curiosity of his neighbors, he kept it carefully secluded, until such time as it should recover from a wound in the foot, received from a splinter on board ship.",EAP
148,id26768,The silent grasp of a few rough arms and all would have been over.,EAP
149,id10455,"After a few experiments, they admitted him to be an unusually perfect state of mesmeric trance.",EAP
150,id01766,It was here that Charles I. had collected his forces.,MWS
151,id21645,"The rage and yells of the wounded man, the howling execrations of his comrade, which I answered with equal bitterness and fury, echoed through the dell; morning broke more and more, ill accordant in its celestial beauty with our brute and noisy contest.",MWS
152,id01795,My tenderness and affection must soothe you; the society of Raymond's friends will be of more solace than these dreary speculations.,MWS
153,id15024,"The two scoundrels were thus ""in at the death,"" and through a half open window of the back parlor of the inn, amused themselves in grinning at the denouement of the drama.",EAP
154,id22388,I am not Suky Snobbs.,EAP
155,id20006,"Was, indeed, Fate preserving my reason only to draw me irresistibly to an end more horrible and unthinkable than any man has dreamed of?",HPL
156,id08071,"The light in the temple is a sheer delusion, and I shall die calmly, like a German, in the black and forgotten depths.",HPL
157,id14105,"There were several side dishes on the table, containing what appeared to be the ordinary French rabbit a very delicious morceau, which I can recommend.",EAP
158,id11210,"It was not so with me; and the question of rank and right dwindled to insignificance in my eyes, when I pictured the scene of suffering Athens.",MWS
159,id00113,"The figures of fiends in aspects of menace, with skeleton forms, and other more really fearful images, overspread and disfigured the walls.",EAP
160,id10338,"In regard to the hair upon the arm, L'Etoile has been obviously disingenuous.",EAP
161,id06670,"The new elections were finished; parliament met, and Raymond was occupied in a thousand beneficial schemes.",MWS
162,id09510,"My father pointed out these circumstances with a serious and unaltered mien, only now and then fixing his deep and liquid eyes upon me; there was something strange and awful in his look that overcame me, and in spite of myself I wept, nor did he attempt to console me, but I saw his lips quiver and the muscles of his countenance seemed convulsed.",MWS
163,id16633,"The hand writing itself was exquisitely beautiful; there was something in her very paper and its folds, which even I, who did not love, and was withal unskilled in such matters, could discern as being tasteful.",MWS
164,id15360,I have been miserably mistaken in imagining that I could conquer my love for you; I never can.,MWS
165,id10950,"To look at a star by glances to view it in a side long way, by turning toward it the exterior portions of the retina more susceptible of feeble impressions of light than the interior, is to behold the star distinctly is to have the best appreciation of its lustre a lustre which grows dim just in proportion as we turn our vision fully upon it.",EAP
166,id04766,"Such a monster has, then, really existence I cannot doubt it, yet I am lost in surprise and admiration.",MWS
167,id24168,"To observe attentively is to remember distinctly; and, so far, the concentrative chess player will do very well at whist; while the rules of Hoyle themselves based upon the mere mechanism of the game are sufficiently and generally comprehensible.",EAP
168,id18645,"Into this the grimacing crone started, dragging Gilman after her by his pajama sleeve.",HPL
169,id25797,Yet we were not all to die.,MWS
170,id03355,"We had long regarded the wanderers as vapory creations of inconceivable tenuity, and as altogether incapable of doing injury to our substantial globe, even in the event of contact.",EAP
171,id05357,"They consider only their own ideas of ingenuity; and, in searching for anything hidden, advert only to the modes in which they would have hidden it.",EAP
172,id22426,"If she is, as you believe, innocent, rely on the justice of our laws, and the activity with which I shall prevent the slightest shadow of partiality.""",MWS
173,id23845,"As for the twentieth time or more Arthur Munroe and I went minutely over every inch of the violated village, we were filled with a certain discouragement coupled with vague and novel fears.",HPL
174,id10920,I gave my assent to her request; and she left me.,MWS
175,id16961,"""Devil,"" I exclaimed, ""do you dare approach me?",MWS
176,id22627,"It means that a great hero, in the heat of combat, not perceiving that he had been fairly killed, continued to fight valiantly, dead as he was.",EAP
177,id14834,"Mont Blanc, the supreme and magnificent Mont Blanc, raised itself from the surrounding aiguilles, and its tremendous dome overlooked the valley.",MWS
178,id18005,"At this moment I felt a light hand placed upon my shoulder, and that ever remembered, low, damnable whisper within my ear.",EAP
179,id19730,"""You surprise me,"" I said, ""by these opinions, which have been contradicted by the voice of the world.",EAP
180,id11752,"Almighty God no, no They heard they suspected they knew they were making a mockery of my horror this I thought, and this I think.",EAP
181,id00790,Will nobody contrive a more expeditious mode of progress?,EAP
182,id11618,"Through the impediments afforded by the number, complexity, and substantiality of the laws of organic life and matter, the violation of law is rendered, to a certain extent, practicable.",EAP
183,id08477,"I did not, however, succeed in finding my late companion, for the dolphins were massed thickly and obscuringly about the conning tower.",HPL
184,id22933,"Madame D. recognized not only the scarf which was found in the thicket, but the dress which was discovered upon the corpse.",EAP
185,id26810,"He was, moreover, enwrapt in an exquisite sense of the strange.",EAP
186,id11451,"Ghastly as our prize appeared, it was wholly unresponsive to every solution we injected in its black arm; solutions prepared from experience with white specimens only.",HPL
187,id13952,"To the right of this compartment, however, that is to say the spectators' right a small division, six inches wide, and filled with machinery, is partitioned off.",EAP
188,id03436,"I have no one near me, gentle yet courageous, possessed of a cultivated as well as of a capacious mind, whose tastes are like my own, to approve or amend my plans.",MWS
189,id24045,"And when I saw that this reef was but the black basalt crown of a shocking eikon whose monstrous forehead now shone in the dim moonlight and whose vile hooves must paw the hellish ooze miles below, I shrieked and shrieked lest the hidden face rise above the waters, and lest the hidden eyes look at me after the slinking away of that leering and treacherous yellow moon.",HPL
190,id18385,In the small hours of the morning a body of silent men had entered the grounds and their leader had aroused the attendants.,HPL
191,id00238,"She spoke again, and now more frequently and pertinaciously, of the sounds of the slight sounds and of the unusual motions among the tapestries, to which she had formerly alluded.",EAP
192,id11129,In the present instance they were fully eight inches wide; but their glory was altogether eclipsed by the gorgeous splendor of the profuse blossoms.,EAP
193,id13756,"I was glad of this, for I wished to retain with me as much weight as I could carry, for reasons which will be explained in the sequel.",EAP
194,id04719,It is impossible utterly impossible to form any adequate idea of the horror of my situation.,EAP
195,id18333,"I calc'late I was asleep, else I'd a heerd ye I ain't as young as I uster be, an' I need a paowerful sight o' naps naowadays.",HPL
196,id15627,This was always at night in the day he slept and would admit no one.,HPL
197,id22291,"By Heaven the first tears I have shed since boyhood rushed scalding into my eyes when I saw him.""",MWS
198,id19155,"Still and somnolent did it lie, on a strange plateau in a hollow betwixt strange peaks.",HPL
199,id16097,"After doing this, I really do not perceive that you can do any more.",EAP
200,id25434,"It seemed, therefore, that the effect of such escape was only sufficient to counterbalance the effect of some accelerating power.",EAP
201,id10325,"Its two general directions, as I have said, were first from west to east, and then from north to south.",EAP
202,id00267,"Several swimmers were still discernible; while on the far black reef I could see a faint, steady glow unlike the winking beacon visible before, and of a curious colour which I could not precisely identify.",HPL
203,id20038,"Oh, beloved father Accept the pure heart of your unhappy daughter; permit me to join you unspotted as I was or you will not recognize my altered semblance.",MWS
204,id01229,"Would it not have been better, at the first visit, to have seized it openly, and departed?""",EAP
205,id14483,"Mebbe ye'd like to a ben me in them days, when I seed things at night aout to sea from the cupalo top o' my haouse.",HPL
206,id20013,"The paper carried me back to the days of the thirteenth century, when the old castle in which I sat had been a feared and impregnable fortress.",HPL
207,id19013,"How long it lasted of course, I know not; but when, once again, I unclosed my eyes, the objects around me were visible.",EAP
208,id22974,"I grant you that in Fum Fudge the greatness of a lion is in proportion to the size of his proboscis but, good heavens there is no competing with a lion who has no proboscis at all.""",EAP
209,id21071,"Am very willing to pay a reward for the finding of the animal that is to say, any thing in reason.""",EAP
210,id18176,"He died gloriously while inhaling gas levique flatu corrupitur, like the fama pudicitae in Hieronymus.",EAP
211,id00403,"We accordingly lay to, hoping that some change would take place in the atmosphere and weather.",MWS
212,id11912,In the middle of the room stood a table in the centre of which again arose a huge tub of what appeared to be punch.,EAP
213,id13372,"The principle being discovered by which a machine can be made to play a game of chess, an extension of the same principle would enable it to win a game a farther extension would enable it to win all games that is, to beat any possible game of an antagonist.",EAP
214,id18954,"""But,"" said the Prefect, a little discomposed, ""I am perfectly willing to take advice, and to pay for it.",EAP
215,id14197,"I had never seen the good old negro look so dispirited, and I feared that some serious disaster had befallen my friend.",EAP
216,id20540,"Matter it seemed not to be, nor ether, nor anything else conceivable by mortal mind.",HPL
217,id18756,"""Wal, come abaout 'thutty eight when I was seven year' old Obed he faound the island people all wiped aout between v'yages.",HPL
218,id09419,"From such scenes I have sometimes saved a deserted infant sometimes led a young and grieving mother from the lifeless image of her first born, or drawn the sturdy labourer from childish weeping over his extinct family.",MWS
219,id09886,"I ask if in the calm of their measured reveries, if in the deep meditations which fill their hours, they feel the extasy of a youthful tyro in the school of pleasure?",MWS
220,id09709,"Yet still there came that monotonous piping from afar; wild, weird airs that made me think of some dance of fauns on distant Maenalus.",HPL
221,id22359,"A purse, or pocket book, being really lost, the loser inserts in one of the daily papers of a large city a fully descriptive advertisement.",EAP
222,id17618,Forth from the well they hurried in fresh troops.,EAP
223,id16223,"I will put you in safety meanwhile, and return to you immediately.""",MWS
224,id01080,"""He was conveyed home, and the anguish that was visible in my countenance betrayed the secret to Elizabeth.",MWS
225,id19741,"The natives suspend it by a cord from the ceiling, and enjoy its fragrance for years.'",EAP
226,id25456,"In she fell victim to a mild form of insanity, and was thereafter confined to the upper part of the house; her elder maiden sister, Mercy Dexter, having moved in to take charge of the family.",HPL
227,id26433,"Bankers, merchants, and manufacturers, whose trade depended on exports and interchange of wealth, became bankrupt.",MWS
228,id21334,"Tucked obscurely away in a corner of the Arkham Advertiser was a facetious little item from the Associated Press, telling what a record breaking monster the bootleg whiskey of Dunwich had raised up.",HPL
229,id06848,"Sometimes she remembered that she had suffered keen anguish, when he hesitated in his choice.",MWS
230,id10014,"""Ebenezer cud read a leetle o' this 'tis Latin but I can't.",HPL
231,id12414,He exhibited a model of his invention at the Polytechnic Institution.,EAP
232,id14360,It is needless to say that I felt inexpressibly alarmed.,EAP
233,id27496,I never saw any set of reasonable people so thoroughly frightened in my life.,EAP
234,id03807,"My heart, which was before sorrowful, now swelled with something like joy; I exclaimed, ""Wandering spirits, if indeed ye wander, and do not rest in your narrow beds, allow me this faint happiness, or take me, as your companion, away from the joys of life.""",MWS
235,id23228,"Something about them seemed so odd and provocative that I could not put them out of my mind, and despite the relative lateness of the hour I resolved to see the local sample said to be a large, queerly proportioned thing evidently meant for a tiara if it could possibly be arranged.",HPL
236,id12245,"""During the ensuing days, while the preparations were going forward for the escape of the merchant, the zeal of Felix was warmed by several letters that he received from this lovely girl, who found means to express her thoughts in the language of her lover by the aid of an old man, a servant of her father who understood French.",MWS
237,id09677,"Matters of little moment are rarely consigned to parchment; since, for the mere ordinary purposes of drawing or writing, it is not nearly so well adapted as paper.",EAP
238,id07932,"We went up stairs into the chamber where the body of Mademoiselle L'Espanaye had been found, and where both the deceased still lay.",EAP
239,id21391,"The reason which, most probably, would be assigned for this circumstance, if the question were demanded, is, that were the antagonist otherwise situated, his person would intervene between the machine and the spectators, and preclude the latter from a distinct view.",EAP
240,id13548,"I'm going to burn his accursed diary, and if you men are wise you'll dynamite that altar stone up there, and pull down all the rings of standing stones on the other hills.",HPL
